,race,sex,race-sex,income-per-year,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
17290,Asian-Pac-Islander,Male,Asian-Pac-Islander-Male,1,0.009950256200323181,0.16604993104563012,0.0,0.24,0.32665686071189276,0.0026917715370156857,0.1009477373339203,1.0,0.44,0.005229762143795362
1679,Black,Female,Black-Female,0,5.25216038172796e-06,0.06694186450370863,0.0,0.01,0.009834777850750282,0.00041020987573934137,0.07288223806061987,0.0,0.01,0.00037533512059077437
10037,Black,Male,Black-Male,1,0.25673765427431705,0.3733947108608962,0.0,0.096,0.1701989997781328,0.9998340523836043,0.2849434139545091,0.0,0.1675,0.0019966956355827585
6973,White,Male,White-Male,1,0.48983279769303206,0.4346560253287969,0.0,0.11233333333333334,0.1619718355287257,0.9999940197978929,0.286531977215998,1.0,0.22333333333333333,0.002831269016540735
17923,White,Female,White-Female,0,3.170736564743226e-08,0.03520194439319497,0.0,0.0,0.0030798018076847525,1.628002438281558e-13,0.025055656959980938,0.0,0.0,0.00016402011102159287
19131,White,Male,White-Male,1,0.983242067076771,0.4508684792598873,0.5,0.4645,0.7077294933226403,0.9999998098113106,0.3146524934095984,1.0,0.705,0.010505079812762485
6890,White,Male,White-Male,0,0.0009236254827576948,0.03845219706888714,0.0,0.07,0.07812589828075953,0.7578313142842931,0.042677996333959,0.0,0.0,0.000898376704093082
2129,White,Male,White-Male,1,0.00359791349370062,0.07190314657143386,0.0,0.02,0.12985392739830562,1.1682199188445625e-05,0.09288777006907892,0.0,0.1,0.001632070817412021
24335,White,Male,White-Male,0,0.0526268560196862,0.27808685797920163,0.0,0.078,0.21722832506258793,0.07578585823073748,0.25193430809753686,0.0,0.065,0.0020208054845546183
8271,White,Male,White-Male,0,0.42057853741286955,0.24294938303785182,0.0,0.08,0.1906073688160452,0.809596301272085,0.21315772423890708,0.0,0.31,0.0015982891266628357
25977,Black,Male,Black-Male,0,3.1159434948000174e-05,0.038005954972817696,0.0,0.03,0.025289552028861902,1.0909223875134559e-10,0.024013825326199657,0.0,0.02,0.0008876277415030183
10961,White,Male,White-Male,0,0.26277042398600864,0.2883881111184418,0.16666666666666666,0.17303386723355757,0.23719991940840193,0.999983441265753,0.19806598056668925,1.0,0.45,0.002671269004197605
13295,White,Male,White-Male,0,0.011561645689472488,0.3647287656502649,0.0,0.06964102564102564,0.10154303562379892,0.014132415900060502,0.29490877792521825,0.0,0.09,0.002141121259483985
29438,White,Female,White-Female,0,0.00018096075251823772,0.2315844361421187,0.0,0.03,0.026912048165502463,3.167241952073108e-08,0.1548659315064282,0.0,0.06,0.0006984648526584319
5173,Black,Male,Black-Male,0,0.0011045696061232986,0.329377182009827,0.0,0.03,0.08108632108549516,0.04545571504043406,0.24324250439976167,1.0,0.17,0.0031525950910761794
14375,White,Male,White-Male,1,1.0,0.9892494216551332,1.0,0.94,0.9999999999847871,0.999999999999936,0.7008725335843728,1.0,0.34233333333333327,0.004170877427879241
27219,White,Female,White-Female,0,2.496108462248996e-08,0.03519248275815179,0.0,0.0,0.002849259481568897,5.3039760729211144e-06,0.03521605147835926,0.0,0.02,0.0002476722590209154
24297,White,Male,White-Male,1,0.9056624670368792,0.4405896652421447,0.5,0.5660000000000001,0.5359393593673601,0.999999482440926,0.3548252197877776,1.0,0.15666666666666665,0.006662900513201601
15570,White,Female,White-Female,0,0.014779497665009751,0.24033424218107083,0.0,0.15,0.24469989113019577,0.446703464250016,0.2833037319406087,0.0,0.07,0.0021544575107342832
19709,White,Male,White-Male,1,0.3679159550626213,0.22781240108299228,1.0,0.811047619047619,0.324733912364541,0.9999626978325092,0.2049166393974134,1.0,0.72,0.0024553515367375317
24641,White,Male,White-Male,0,2.4970165848694688e-05,0.05474134952460986,0.0,0.0,0.03394901078716347,0.0006552124827486506,0.06232043272294352,0.0,0.02,0.0006723831022096522
28946,White,Female,White-Female,0,2.3581191810630402e-08,0.025891634435064623,0.0,0.0,0.0026445252507287798,2.4278408134772675e-13,0.019053347993576764,0.0,0.0,0.00016067216202846627
8090,White,Male,White-Male,1,0.04884235338643922,0.2786320877138319,0.0,0.114,0.12597413143517994,0.9940126419605126,0.18277377995345945,0.0,0.11,0.001827257963723688
18604,White,Male,White-Male,0,0.019565119075556622,0.34214716247132787,0.0,0.01,0.13597111968124914,0.023916074044699313,0.2976720407233955,0.0,0.11,0.0021998789390348652
26341,White,Female,White-Female,0,0.006251990786656148,0.068341829522716,0.0,0.10314285714285713,0.15219974567525577,0.9752787512492175,0.06309832295416168,0.0,0.0,0.0015392765054816557
9049,White,Male,White-Male,0,0.9841018228677206,0.6910503363752464,0.0,0.53,0.5429434684015766,0.9999999774288997,0.5264891460798508,0.0,0.45,0.007753011248317529
7536,White,Male,White-Male,1,1.0,0.9930638008944329,1.0,0.97,0.9999999999860727,0.9999999999999929,0.773603870861957,0.0,0.53,0.003058630585712184
1525,White,Male,White-Male,1,0.994168900876716,0.6181451971235342,0.8333333333333334,0.8420458152958146,0.708528749679878,0.9999999589004682,0.4574627100688114,1.0,0.31385714285714283,0.01159086340174162
