,race,sex,race-sex,income-per-year,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
17290,Asian-Pac-Islander,Male,Asian-Pac-Islander-Male,1,0.009950256200323181,0.16604993104563012,1.0,0.3,0.3043847698109017,0.008625261847351552,0.11520829622171525,0.0,0.17,0.4655928110723425
1679,Black,Female,Black-Female,0,5.25216038172796e-06,0.06694186450370863,0.0,0.0,0.016262910279585742,0.0038543415679231988,0.08702602912186247,0.0,0.01,0.027951148368077165
10037,Black,Male,Black-Male,1,0.25673765427431705,0.3733947108608962,0.0,0.10833333333333332,0.23567221970824365,0.17496896221437777,0.15102695298522475,0.0,0.24666666666666665,0.28435181511191054
6973,White,Male,White-Male,1,0.48983279769303206,0.4346560253287969,0.0,0.0825,0.19918177489987193,0.20676087793186998,0.21406059633337457,0.0,0.11,0.30832570863185366
17923,White,Female,White-Female,0,3.170736564743226e-08,0.03520194439319497,0.0,0.0,0.0052118566773240995,7.172918075060785e-06,0.03991505345667007,0.0,0.01,0.01533398849664158
19131,White,Male,White-Male,1,0.983242067076771,0.4508684792598873,0.5,0.5174047619047618,0.7353332910059782,0.8867895328343041,0.18315980378007957,1.0,0.68,0.7094706550599194
6890,White,Male,White-Male,0,0.0009236254827576948,0.03845219706888714,0.0,0.11333333333333334,0.07850754940218144,0.032393742096266005,0.05014782399953788,0.0,0.03,0.05824192751662049
2129,White,Male,White-Male,1,0.00359791349370062,0.07190314657143386,0.0,0.08,0.1387197878193312,0.08071918947128937,0.08194028852056723,0.0,0.05,0.1340335958478312
24335,White,Male,White-Male,0,0.0526268560196862,0.27808685797920163,0.0,0.125,0.33070760153208817,0.024986145690553786,0.09767588107987929,0.0,0.16,0.3070843721449608
8271,White,Male,White-Male,0,0.42057853741286955,0.24294938303785182,0.0,0.03666666666666667,0.24385506145905408,0.07571412466947283,0.13416912323794677,0.0,0.14,0.30333520911039696
25977,Black,Male,Black-Male,0,3.1159434948000174e-05,0.038005954972817696,0.0,0.03,0.03151368628046011,0.0012285189415603642,0.060008193918421125,0.0,0.0,0.06538246206553915
10961,White,Male,White-Male,0,0.26277042398600864,0.2883881111184418,0.16666666666666666,0.1549392203084152,0.2766430219752864,0.09490355614179195,0.11379566321174944,0.0,0.16342099567099566,0.3210231376310484
13295,White,Male,White-Male,0,0.011561645689472488,0.3647287656502649,0.0,0.06638663967611336,0.1234288028999554,0.004246026210746899,0.18317016268325598,0.0,0.02,0.16151946589604343
29438,White,Female,White-Female,0,0.00018096075251823772,0.2315844361421187,0.0,0.01,0.04767383392780707,0.002595421272594741,0.15828520181828393,0.0,0.0,0.10481831516273127
5173,Black,Male,Black-Male,0,0.0011045696061232986,0.329377182009827,0.0,0.02,0.09715537822518179,0.0028245673676017546,0.15015021597859668,1.0,0.08,0.11540562509707505
14375,White,Male,White-Male,1,1.0,0.9892494216551332,1.0,0.97,0.9999999872758308,0.9926172991181683,0.25420351624820076,1.0,0.86,0.34936283982648836
27219,White,Female,White-Female,0,2.496108462248996e-08,0.03519248275815179,0.0,0.0,0.004292839983009086,2.9706929336675935e-06,0.0518558026214907,0.0,0.0,0.010897110691066119
24297,White,Male,White-Male,1,0.9056624670368792,0.4405896652421447,0.5,0.4478333333333333,0.6185310115395114,0.6756710299839188,0.173151679596028,0.0,0.57,0.5499385505405838
15570,White,Female,White-Female,0,0.014779497665009751,0.24033424218107083,0.0,0.12,0.3587404069902794,0.4166710837317276,0.21056813582207945,0.0,0.1,0.20913256183380757
19709,White,Male,White-Male,1,0.3679159550626213,0.22781240108299228,1.0,0.76,0.3842204999087243,0.0803128821024209,0.09736286393429423,0.0,0.09,0.393676344380971
24641,White,Male,White-Male,0,2.4970165848694688e-05,0.05474134952460986,0.0,0.0,0.04174839737228433,0.002325845367123662,0.06488514178613151,0.0,0.0,0.04320927556396939
28946,White,Female,White-Female,0,2.3581191810630402e-08,0.025891634435064623,0.0,0.0,0.005272787214561973,1.1336040099312457e-05,0.03465008953612683,0.0,0.0,0.017525352899543944
8090,White,Male,White-Male,1,0.04884235338643922,0.2786320877138319,0.0,0.10681818181818181,0.16698432312790806,0.027819276657740217,0.13545465774209375,0.0,0.11,0.3068633326461951
18604,White,Male,White-Male,0,0.019565119075556622,0.34214716247132787,0.0,0.0,0.15745736231588384,0.006630204695770412,0.16556065207926784,0.0,0.1575,0.17582683767816665
26341,White,Female,White-Female,0,0.006251990786656148,0.068341829522716,0.0,0.09969047619047623,0.16522942496112025,0.10443262178869035,0.062107283487214476,0.0,0.01,0.11679087356923665
9049,White,Male,White-Male,0,0.9841018228677206,0.6910503363752464,0.0,0.45,0.6047123430110362,0.9469655128869431,0.294882542626071,1.0,0.54,0.23514059393793807
7536,White,Male,White-Male,1,1.0,0.9930638008944329,1.0,0.97,0.9999999911728471,0.9999799634604458,0.31630738707116834,1.0,0.8263333333333333,0.34936283982648836
1525,White,Male,White-Male,1,0.994168900876716,0.6181451971235342,0.8333333333333334,0.8301132756132755,0.7649573829770875,0.9467975798486883,0.23216363819235905,0.0,0.7395476190476189,0.6891926953743738
2573,White,Male,White-Male,0,2.632825808471795e-10,0.045070146304070045,0.0,0.0,0.005443750098829478,2.0975851565447698e-07,0.05012048461480487,0.0,0.0,0.034849567499506434
11335,White,Male,White-Male,1,1.0,0.9582744955830642,1.0,0.98,0.9999999148032971,0.7240940015907557,0.13164051459265977,1.0,0.92,0.34936283982648836
20501,White,Male,White-Male,1,0.9082849320173533,0.47538256557073844,0.0,0.27,0.5489680477170495,0.7606597702140994,0.19991302345465983,0.0,0.32,0.5211150355217498
18908,White,Male,White-Male,0,5.717640071065079e-09,0.031796194920671796,0.0,0.0,0.001978601797364368,6.907084513651812e-07,0.07937877431994805,0.0,0.01,0.012731707368646773
4454,White,Male,White-Male,0,0.10119079550214012,0.21988557562661937,0.0,0.0,0.3324968397307325,0.058190230083198465,0.08157309670914081,0.0,0.18916666666666665,0.3700607849436103
25114,White,Male,White-Male,0,0.31956182200082117,0.41278988250750387,1.0,0.45,0.3310395807263333,0.3440529480761486,0.19252574668423356,1.0,0.455,0.37663266070327267
1921,White,Male,White-Male,1,0.9951507143802393,0.5884186931587286,1.0,0.77,0.5489243964856296,0.9544373790771252,0.21879793348277268,0.0,0.43,0.5090826957793386
1703,White,Male,White-Male,0,0.00029881256655219147,0.10656569318265321,0.0,0.24,0.07536177173545557,0.013549104754583692,0.10709551898798142,0.0,0.21,0.07862302597344058
6307,White,Female,White-Female,0,0.004855106214009124,0.06942370395706791,0.0,0.03,0.18748388293422374,0.16764545096735026,0.06733779593560615,0.0,0.03,0.1367055234201338
14675,White,Female,White-Female,0,1.3781425398415874e-10,0.02132484760619439,0.0,0.0,0.0019024631957465584,3.2629531466682547e-07,0.028223600901878705,0.0,0.0,0.011399278294431455
8995,Asian-Pac-Islander,Male,Asian-Pac-Islander-Male,0,0.0009160589776368144,0.09260235293961912,0.0,0.16,0.18140009976554092,0.024698268209323592,0.05888049944717067,0.0,0.22,0.038757985664732465
11179,White,Female,White-Female,0,9.454894807084885e-06,0.08830938856250725,0.0,0.02,0.02569920754010227,0.006058304739596302,0.10073126633642808,0.0,0.01,0.038005173382953034
21291,Black,Female,Black-Female,0,4.717255115733899e-06,0.04398200431435257,0.0,0.11333333333333333,0.03295219092547158,0.0005454672064824716,0.07747266527548424,0.0,0.09,0.0742854117582263
23799,White,Female,White-Female,0,0.00011807800966288147,0.1189948788121087,0.0,0.08,0.0647766569353704,0.011424831913169287,0.1176134218521157,0.0,0.26,0.08856614355050056
3064,White,Female,White-Female,0,7.428856537971817e-06,0.05349177475862415,0.0,0.0,0.02221426033076344,0.0009897334449553864,0.06452917946554833,0.0,0.065,0.033932891924317136
3585,White,Male,White-Male,0,1.7622857284208087e-06,0.01634116906464854,0.0,0.0,0.01637735599615359,0.00036571940353579964,0.03036014025442469,0.0,0.0,0.024439166976487542
3292,White,Female,White-Female,0,6.081707679337197e-05,0.02654705786185673,0.0,0.01,0.03126690827433207,0.003945928622946407,0.04312465717124242,0.0,0.0,0.0418786161297996
25759,Black,Male,Black-Male,0,0.003846923354100101,0.32623611514353745,0.0,0.09,0.024795821648651968,0.003214006943083127,0.10169454886324299,0.0,0.08,0.25831434885994814
11604,White,Male,White-Male,1,0.9792008247518296,0.7310522240402465,0.0,0.14,0.5523756261082721,0.9063529893349423,0.34738994278667695,1.0,0.435,0.5706724349049779
25904,White,Male,White-Male,0,0.9833973127652701,0.5948594118753138,0.0,0.56,0.5169574388235011,0.8298053903625325,0.19962229977239201,1.0,0.44,0.544727816742631
21735,White,Female,White-Female,0,0.007265792794768299,0.12667383015416345,0.0,0.0,0.0859713178719362,0.20308848977597238,0.12298709146850798,0.0,0.0,0.07773657291597799
7885,White,Male,White-Male,0,0.7206958608901651,0.6084908356397856,0.0,0.021,0.26594591985049654,0.06199011944251793,0.14825531759982288,0.0,0.07666666666666666,0.34936283982648836
12851,White,Male,White-Male,0,0.03749326058516954,0.41213253076154915,0.0,0.49,0.1956848143925082,0.06927906242181163,0.15457169974910306,1.0,0.24,0.259127480162788
5689,White,Female,White-Female,0,9.889981910470339e-11,0.037958569825631436,0.0,0.0,0.0022680498045495358,3.3600304286706037e-07,0.03371378762058594,0.0,0.0,0.021206918669385323
8915,White,Male,White-Male,1,0.9999981699161853,0.7852178434810966,1.0,0.72,0.91398849883345,0.89884669096555,0.21282893257395372,0.0,0.53,0.34936283982648836
9613,White,Male,White-Male,0,9.056788140217196e-07,0.047035197838705974,0.0,0.0,0.0002926433474362832,8.076018580577943e-05,0.04121653085123592,0.0,0.02,0.05947484004345266
6108,White,Male,White-Male,1,0.985165050523783,0.6484083042904979,0.3333333333333333,0.29161111111111104,0.6300975111243224,0.9211934373003523,0.2777043270035844,0.0,0.4,0.6307723297587348
12759,Asian-Pac-Islander,Female,Asian-Pac-Islander-Female,0,9.47664267612733e-06,0.10817728418289467,0.0,0.16,0.04351965855395444,0.0013607011087276536,0.09684323609140791,0.0,0.3048571428571428,0.04250409898178063
16538,White,Female,White-Female,0,0.0004607905406084018,0.13203701055250538,1.0,0.106,0.06557393739616492,0.019345394436523902,0.11471031915794315,0.0,0.26,0.07108791548372279
21368,White,Male,White-Male,0,0.9939155878536671,0.6220260377414807,0.5,0.5262857142857144,0.7655291400389346,0.9450159881848288,0.23582028591155282,0.0,0.7126904761904762,0.6855364873032835
6605,White,Male,White-Male,0,0.22647921822832098,0.4175356979376716,0.0,0.24,0.45150806143026095,0.18389498016229042,0.13170979540964203,0.0,0.2841666666666667,0.4845780385852746
10921,White,Female,White-Female,0,0.5162196839317768,0.23646863581374372,1.0,0.34,0.3674327990445102,0.18817086073966627,0.2285627413920176,0.0,0.31,0.30108125815442416
