algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy
GaussianNB,,0,0.7148065430074546,1.2976034304984818,3.198648106423038,3.198648106423038,0.3837056996283766,0.9040995008591768,0.5255135851557323,0.8624908958485069
LR,,0,0.6956552965977965,1.092436542963952,2.3841673600380364,2.3841673600380364,0.48227235435101634,0.9738155633745192,0.41749502982107356,0.9126729788783685
DecisionTree,,0,0.7317688392732279,1.1409682869399411,2.245064684914725,2.245064684914725,0.4512369357503957,0.9340479502495704,0.5294897282968853,0.8895848506919155
RandomForest,,0,0.7144965083893171,1.12498809318897,2.641788587547058,2.641788587547058,0.4963196029654911,0.9677604124048769,0.46123260437375746,0.9120903131828113
MultiLayerPerceptron,,0,0.5744663025854366,1.0543301520562436,3.5762510400570546,3.5762510400570546,0.3140625122794376,0.993863022665903,0.1550695825049702,0.9016751638747269
Feldman-GaussianNB,lambda=1.0,0,0.5049914082317323,0.9861789079824933,0.9860600661896138,0.9860600661896138,0.03327162502784514,0.009982816463464527,1.0,0.11879096868171886
Feldman-LR,lambda=1.0,0,0.8362935335644535,1.2614430720742251,2.368304015568116,2.368304015568116,0.5280181672330635,0.8760330578512396,0.7965540092776673,0.8672978878368536
Feldman-DecisionTree,lambda=1.0,0,0.7085751047542853,1.1151016799883688,1.7385507028812235,1.7385507028812235,0.35693606747184514,0.8869977906881598,0.5301524188204109,0.8477785870356883
Feldman-RandomForest,lambda=1.0,0,0.7249884214880913,1.0303719771322384,1.3384450651769089,1.3384450651769089,0.49048252191872566,0.9589231650437771,0.49105367793240556,0.9075018208302986
Feldman-MultiLayerPerceptron,lambda=1.0,0,0.7178420625362736,1.1630873817883445,1.2924898698060276,1.2924898698060276,0.2746477192116809,0.48604860486048607,0.949635520212061,0.5369992716678805
