,age,y,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
5913,adult,0,2.205991693949339e-10,0.01080675120347311,0.0,0.01,0.0004340323216356544,0.9999836868272652,0.15230008881244475,0.0,0.13,0.2168214252767548
10117,adult,0,3.1970657745137034e-10,0.009963124253788286,0.0,0.0,0.0005889082484121358,0.9999696012213312,0.10225073334334037,0.0,0.06,0.4535726346886085
19895,adult,0,1.7422538833352412e-06,0.01750927182752104,0.0,0.02,0.0013397319309044725,0.9999999062973766,0.1852046047345146,0.0,0.06,0.5247759656653154
38746,adult,0,1.0,0.47237497374675247,0.0,0.34,0.1682773004372916,0.9999999999999964,0.5449063933782154,0.0,0.45,0.6843421865895939
13717,adult,0,5.690883787628382e-11,0.01723675445601265,0.0,0.0,0.0008663369784803172,0.9997263247366565,0.12026325100115738,0.0,0.04,0.25210878468571024
22031,adult,0,2.617346639794978e-06,0.018215283927615244,0.0,0.0,0.00131800116710341,0.9999999268727064,0.19016671775769028,0.0,0.05,0.5089327613695899
8034,adult,0,1.0609652909606857e-11,0.018302446603073858,0.0,0.01,0.0009460027812930931,0.9995884992366718,0.13113348639912847,0.0,0.11,0.3200903608298294
36348,adult,0,0.0025168967859548015,0.0931767554846589,0.0,0.28,0.010557364225481636,0.9999999997434621,0.5409312435309104,0.0,0.31,0.8307762013138892
12668,adult,0,9.731647861098906e-10,0.05825158405283606,0.0,0.14,0.0037179457681958713,0.999921490822966,0.21681580405094406,0.0,0.33,0.5113450477733913
21457,adult,0,1.034581455173575e-08,0.016896227975229768,0.0,0.0,0.0009800333843644148,0.9999972772837264,0.18355911076129555,0.0,0.13,0.4033619351280776
19234,adult,0,7.361111053771718e-12,0.012793223941671183,0.0,0.01,0.0007562442027309895,0.9985380027050287,0.13988770210675236,0.0,0.14,0.3014926973513942
6988,adult,0,1.4045419094025622e-10,0.018578162912093826,0.0,0.0,0.000669987262242932,0.9999575747117052,0.2172356858298078,0.0,0.18,0.3750298784733165
22647,adult,0,8.076312144047803e-05,0.1882989323871549,0.0,0.3,0.019819586109095996,0.9999999928753773,0.49907794251435145,0.0,0.22,0.7130651380950833
24799,adult,0,1.0,0.14028577382402493,0.0,0.21,0.10548729737534937,1.0,0.2866314566720874,0.0,0.4,0.5025013080538887
10848,adult,1,3.551497093007974e-08,0.05022767445139006,0.0,0.04,0.004206968839972468,0.9999971340172848,0.23977853007979638,0.0,0.02,0.6482084176119436
38425,adult,0,1.0,0.3235444245272296,0.0,0.17,0.051360086666084666,1.0,0.7127749431027831,1.0,0.33,0.9701764389543817
25953,adult,0,0.000266675549502909,0.010044956620514718,0.0,0.01,0.0005093599727903931,0.9999999943490963,0.11024008361787313,1.0,0.1,0.1742965536035453
1619,adult,0,6.776332327653654e-08,0.012067083506339997,0.0,0.0,0.0004034241628737586,0.9999995513223586,0.15006917655975693,0.0,0.05,0.21740381978958181
30876,adult,0,9.311925234759039e-05,0.04141778735157013,0.0,0.01,0.0032434280100503716,0.9999999985504449,0.30518892853821605,0.0,0.06,0.8535386598099729
29631,adult,0,0.010561599392257108,0.12453998419014338,0.0,0.0,0.012110444946723184,0.9999999999708074,0.507770927015135,0.0,0.13,0.8938492856009812
10293,adult,0,3.5090360374149064e-10,0.013845162693155975,0.0,0.0,0.0006725808542035742,0.9998970512850424,0.11083726023761542,0.0,0.05,0.3234015519987002
28700,adult,0,0.001130864933317537,0.04204353982152415,0.0,0.03,0.00296574242718257,0.9999999999515481,0.36652565927072595,0.0,0.06,0.8609119318355872
34907,adult,0,0.005512869052322494,0.031749802401014826,0.0,0.03,0.0020875027463778933,0.9999999999457714,0.2141285010121084,0.0,0.18,0.7759757154205446
4153,adult,0,3.913822626417068e-08,0.03178275502942536,0.0,0.0,0.0012868288556679894,0.9999993047579424,0.2736935209497562,0.0,0.08,0.3091954574724395
5662,adult,0,2.186654163069699e-07,0.007874829381694622,0.0,0.0,0.0003741405399712581,0.9998316889573873,0.12388923688121829,0.0,0.08,0.16392271216213805
18577,adult,0,1.2365858733453115e-06,0.02131457902554635,0.0,0.0,0.0015982038990210543,0.9999998715432146,0.21678657580066682,0.0,0.05,0.636408101234226
4157,adult,0,8.077966744179426e-12,0.010595344296319729,0.0,0.01,0.00032552358296585536,0.9998488063839385,0.14304379903424705,0.0,0.13,0.2115013701103349
16264,adult,0,4.876237753768918e-06,0.09402024777919073,0.0,0.01,0.009589987422165379,0.9999999227248549,0.3578942524131505,0.0,0.1,0.7143519082403417
6758,adult,0,6.212867834779288e-11,0.010830161037899801,0.0,0.0,0.0004110049398920139,0.9998285883493487,0.1704954614214082,0.0,0.05,0.24344009367964733
19701,adult,0,2.1206323264116777e-06,0.014411808880841145,0.0,0.08,0.000972933992521276,0.9999999936376724,0.15661481706677643,0.0,0.19,0.46907956794753475
38236,adult,0,1.0,0.34985898673380594,0.0,0.56,0.05319055071555737,1.0,0.7302647168807502,1.0,0.62,0.8989257174458953
21096,adult,0,1.4997608783628044e-05,0.022169446217411116,0.0,0.0,0.0012769410119653547,0.9999999855246317,0.1821225600526914,0.0,0.05,0.4506987879752896
3146,adult,0,6.410042703138426e-09,0.009138384858818197,0.0,0.0,0.00029183261738065713,0.9999977576525568,0.12206150596826425,0.0,0.05,0.22321140843708995
3269,adult,0,1.479966377513359e-10,0.019645663579650554,0.0,0.0,0.0008349410021110852,0.9999995463100112,0.2080113220264315,0.0,0.07,0.21065790027351908
2083,adult,0,1.441251180988995e-12,0.007574324668508454,0.0,0.0,0.0002231528100438972,0.9991785709294473,0.12989053780745174,0.0,0.07,0.16241002232271662
22630,adult,0,1.5932902498738583e-05,0.05036288637025719,0.0,0.01,0.0033468160439553024,0.9999999835164389,0.25649809674212043,0.0,0.09,0.5055728405097955
1428,adult,0,3.5638645539664865e-12,0.010178226296198129,0.0,0.02,0.0003150448072200807,0.9995956771115629,0.14851947444323277,0.0,0.08,0.25630752257492684
8951,adult,0,0.0005197929552108537,0.02400254608865773,0.0,0.01,0.0024374634073022704,0.9999976392965106,0.16139240247724757,0.0,0.01,0.6129180189129215
24444,adult,0,0.011389644766874511,0.01324547891341942,0.0,0.0,0.000680130957039026,0.9999999997685904,0.12969777797030335,0.0,0.13,0.20648868025809855
39687,adult,0,8.37302431055429e-05,0.5290205484947033,0.0,0.45,0.042155647743470095,0.9999999983726262,0.7231732003670056,1.0,0.68,0.9072823633325438
25246,adult,0,5.881555544695661e-06,0.01291556450225801,0.0,0.0,0.0008396961116516865,0.9999999977343421,0.1712856793174542,0.0,0.1,0.5393654104356127
27357,adult,0,1.342701440238905e-05,0.020365080733594495,0.0,0.0,0.0012758964075376634,0.9999999905238504,0.2504148022825036,0.0,0.15,0.6487945852918532
595,adult,0,3.408513270780177e-08,0.04407190914812639,0.0,0.0,0.002229918345572116,0.9999991964609154,0.3031530607226211,0.0,0.05,0.3854308192771281
705,adult,0,5.966137030934187e-08,0.019703878667760334,0.0,0.0,0.0008034013418475496,0.9999996098148409,0.2602588088830078,0.0,0.05,0.3991129235349697
40343,adult,0,0.9283936948397392,0.3916728793028414,0.0,0.32,0.01617321563480924,0.9999999999985114,0.7562834483687133,1.0,0.53,0.7816724612782183
28436,adult,0,0.11624214377422762,0.03344862269698451,0.0,0.02,0.0029555590472128113,0.9999999997438991,0.3025755592340111,0.0,0.12,0.7193360520465014
8115,adult,0,3.5640481400748373e-13,0.011787678095634236,0.0,0.0,0.0005091976735597453,0.9891469718793814,0.10013480873639702,0.0,0.11,0.2335132948709621
38787,adult,0,0.3256501687020799,0.8391244509487301,1.0,0.69,0.30753786312368425,0.9999999999956977,0.8842400186187169,0.0,0.56,0.9159605607615022
32137,adult,0,0.0006255912181786435,0.040975016206936374,0.0,0.01,0.00276399192444496,0.999999999778165,0.31812781494258263,0.0,0.07,0.867834898660667
21104,adult,0,5.074023584768209e-06,0.022913831361815577,0.0,0.0,0.001313413503617086,0.99999996837304,0.1979963715084829,0.0,0.04,0.4888207760198296
873,adult,0,1.8631468946720069e-13,0.013645957490563052,0.0,0.0,0.0004492152548910585,0.9952647170228546,0.17263062068034957,0.0,0.17,0.23783964965266693
28442,adult,0,0.9963097952724234,0.10970958285502945,1.0,0.69,0.012711719847152048,1.0,0.49487401667619857,1.0,0.55,0.9352199224409014
8303,adult,0,2.250009202088009e-16,0.010379510973035454,0.0,0.0,0.0005966533092446442,0.9988908560987515,0.10238719123926225,0.0,0.03,0.3570083392114259
5772,adult,0,3.444104465659234e-10,0.007834855570383678,0.0,0.0,0.00022933178520766383,0.9999690322662151,0.12685904614389104,0.0,0.07,0.1434118071468233
39016,adult,0,1.0,0.12643261226000946,1.0,0.18,0.015750958465779726,1.0,0.46462882229362523,0.0,0.17,0.8016239424885315
5223,adult,0,2.5213939823310447e-08,0.012457248364330641,0.0,0.0,0.0004441272965369214,0.9999993781990725,0.19594673487587883,0.0,0.04,0.32149302508621946
15434,adult,0,1.886575971985189e-11,0.01196860346138197,0.0,0.01,0.0006504567907144895,0.9993480794983609,0.12600000633200514,0.0,0.1,0.2923749318818556
18780,adult,0,3.7288121976753673e-16,0.004466602220173625,0.0,0.01,0.00021269846048048945,0.98595293254168,0.06379884566426645,0.0,0.11,0.16008717987687757
32172,adult,0,1.0084313281956954e-05,0.028307151299700326,0.0,0.0,0.0017454880332857141,0.9999999905704939,0.23862771327416377,0.0,0.03,0.7758146430847755
34673,adult,0,0.030198954991657777,0.05943634099247559,0.0,0.04,0.004949434828099404,0.9999999999976623,0.3333501862001316,0.0,0.13,0.8806648775137902
26281,adult,0,8.190116149947248e-10,0.07296924732128472,0.0,0.14,0.0038098825815557746,0.9999831230709504,0.3039879521701492,0.0,0.19,0.5508409681094627
30681,adult,0,1.4658986622405754e-05,0.055706831894413694,0.0,0.03,0.0039874027660958605,0.9999999928254688,0.32747414211651504,0.0,0.08,0.8247031757704361
10513,adult,0,8.905265090667913e-08,0.06889401176330383,0.0,0.0,0.005621042266915057,0.9999984707441709,0.2693655952693465,0.0,0.05,0.6513352776117372
40822,adult,1,1.0,0.780569324913302,1.0,0.9,0.42477362246122535,1.0,0.7221528756499863,1.0,0.81,0.8392406270620045
