,sex,age,sex-age,credit,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
331,female,adult,female-adult,0,0.03462871018347424,0.07533079654634173,0.0,0.05,0.09105684687660544,2.144357629930195e-11,0.057998279792538215,0.0,0.04,0.11374602964829719
527,male,adult,male-adult,1,0.0002001561163163209,0.01952669039679766,0.0,0.04,0.05035596303373425,9.03442511107499e-14,0.012878279896652108,0.0,0.01,0.1306702261801072
789,male,adult,male-adult,0,0.9996309528098238,0.78752965806332,1.0,0.57,0.014881658173727892,1.2052504592560186e-06,0.7974509158732682,0.0,0.53,0.33944253977701166
415,male,adult,male-adult,1,7.411858601427146e-05,0.04731197453702322,0.0,0.13,0.00403663901618385,1.8661146040935414e-14,0.03526738577899249,0.0,0.09,0.024333181406537608
739,female,adult,female-adult,0,0.9999995528125615,0.7645663707876544,0.0,0.62,0.022257321623213287,0.003921942942013513,0.7868707511893602,1.0,0.55,0.17746005581442903
616,male,adult,male-adult,1,0.9981917265378442,0.7016460492834051,1.0,0.45,0.006746624861997167,2.650583003349494e-07,0.7535201506159724,1.0,0.41,0.06294070780117485
502,male,adult,male-adult,1,0.000412206794717304,0.047954569397788034,0.0,0.1,0.04109908843007954,1.574507529818344e-13,0.03981794726388899,0.0,0.1,0.17443905458985848
417,female,youth,female-youth,1,0.9925367058341074,0.5277363030196168,0.0,0.5,0.00034070416423863945,2.429227297584933e-07,0.5649104272253601,1.0,0.36,0.12765686920217664
600,female,adult,female-adult,1,0.00018740306750149796,0.16504500278124012,0.0,0.12,0.035279503741427735,4.894524452467298e-14,0.15748519440941947,0.0,0.22,0.3109500276014885
579,male,adult,male-adult,1,9.007577318119382e-06,0.20908288471901618,0.0,0.35,0.13012566288443017,4.028161417755592e-16,0.15378176654135417,0.0,0.22,0.17576538843721182
509,male,adult,male-adult,1,0.0013501571963649341,0.12608246750544763,1.0,0.16,0.00028580886584754066,3.249089405174695e-13,0.09669664943983908,0.0,0.23,0.03376801775513407
951,male,youth,male-youth,0,0.8788530326689004,0.6412931188487384,1.0,0.58,0.4473057188184872,2.927864347102043e-09,0.5905144833623185,1.0,0.45,0.2569786977067284
526,female,adult,female-adult,1,0.10399975085319224,0.11399420909397161,0.0,0.07,0.07202455549928403,6.333438872150656e-11,0.08629702251039241,0.0,0.03,0.17887362972115703
519,male,adult,male-adult,1,0.001960240515664571,0.024323124590835608,0.0,0.05,0.0342378069468435,9.527289053942082e-13,0.018282098310778906,0.0,0.12,0.1550557586495011
290,male,adult,male-adult,1,6.840738909817309e-19,0.046889748608587654,0.0,0.07,0.05110995707851244,1.1252662745529904e-11,0.041573850314420374,0.0,0.06,0.16555617075809154
497,male,adult,male-adult,1,0.002219109507874973,0.06282110229081389,0.0,0.05,0.09197308277723142,8.672375644589016e-13,0.04529626104230381,0.0,0.04,0.07766642592357875
