algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy
GaussianNB,,0,0.5119840568223387,1.009843050787537,1.0092426310084008,1.0109217412848015,0.04124199125490445,0.10341726618705036,0.9205508474576272,0.4785992217898833
LR,,0,0.6474439092793562,1.144989109794156,1.22003412127479,1.5365333047712677,0.3054502976094892,0.7715827338129496,0.5233050847457628,0.6575875486381323
DecisionTree,,0,0.6168874222655774,1.0952590649205123,1.1848907181450388,1.2942536369790403,0.23938671208362006,0.7221223021582733,0.5116525423728814,0.6254863813229572
RandomForest,,0,0.6402344226313864,1.1129624977904304,1.123301859088882,1.315515942104306,0.2822365309173033,0.697841726618705,0.5826271186440678,0.6449416342412452
MultiLayerPerceptron,,0,0.6541123033776368,1.1613972955902678,1.4286341444043003,1.5397184792903909,0.31311664237725184,0.7383093525179856,0.5699152542372882,0.6609922178988327
Feldman-GaussianNB,lambda=1.0,0,0.6218525179856116,1.1329090959837005,1.2662043088968338,1.3262314174145375,0.24291260836481648,0.6187050359712231,0.625,0.6215953307392996
Feldman-LR,lambda=1.0,0,0.5574853676380929,1.025822244137017,2.5143525770896655,1.4092264342583796,0.21146729477160145,0.9730215827338129,0.1419491525423729,0.5914396887159533
Feldman-DecisionTree,lambda=1.0,0,0.5704296732105841,1.060392833035106,3.4340016340823034,1.7101028271385856,0.21295954640689468,0.9406474820143885,0.20021186440677965,0.60068093385214
Feldman-RandomForest,lambda=1.0,0,0.5708793134983539,1.0596392535324686,2.6501306663403676,1.7012421907285413,0.21468101371681753,0.9415467625899281,0.20021186440677965,0.6011673151750972
Feldman-MultiLayerPerceptron,lambda=1.0,0,0.5636622058285575,1.0371848585306958,2.840719778714786,1.5213031128630223,0.21605561674536514,0.9631294964028777,0.1641949152542373,0.5963035019455253
