,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
1167,Male,Caucasian,Male-Caucasian,0,1.0,0.18853637346706334,0.2,0.18130588645101026,0.201679435365604,0.17758997592613562,0.1598523339018872,0.1956521739130435,0.1908099457937035,0.19362708416572316
5476,Male,Caucasian,Male-Caucasian,1,1.0,0.6875840727391015,1.0,0.71,0.7886245248973669,0.5712708201793477,0.3563966488551162,0.4519230769230769,0.44844608854437473,0.3662113811845751
3135,Male,African-American,Male-African-American,1,1.0,0.9628127376725719,1.0,0.96,0.9656237605258786,0.9922360207239235,0.4337479159239424,1.0,0.829896093285799,0.5854136731516774
5229,Male,African-American,Male-African-American,1,1.0,0.7041692011675806,1.0,0.9268333333333332,0.8386974192392607,0.9365952867977619,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809931
5000,Male,Other,Male-Other,0,1.0,0.5352502555011611,0.25,0.22778571428571429,0.5038680907943902,0.24728783196066845,0.3045558022659177,0.0,0.14095095591730594,0.35504001908612515
1247,Female,African-American,Female-African-American,0,1.0,0.46672223661119927,0.0,0.04638888888888888,0.4471573605732021,0.548102427402472,0.37081890300358067,0.0,0.47718786590775564,0.42387001196063767
2082,Female,Hispanic,Female-Hispanic,0,1.0,0.26580801749638766,0.0,0.16,0.20744152926713397,0.44358496526070534,0.2038608929825668,0.3140495867768595,0.31154814800635194,0.24295233099501176
1802,Male,African-American,Male-African-American,1,1.0,0.8654338857477986,1.0,0.72,0.9367910901543315,0.9365952885423066,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809982
5098,Male,Other,Male-Other,1,1.0,0.31031458322191435,0.0,0.3,0.971609117015252,0.44358496526070534,0.2038608929825668,0.3140495867768595,0.31154814800635194,0.24295233099501176
4965,Male,African-American,Male-African-American,1,1.0,0.27722794899608094,0.0,0.18,0.23746576305445263,0.44358496526070534,0.2038608929825668,0.3140495867768595,0.31154814800635194,0.24295233099501176
4267,Male,Caucasian,Male-Caucasian,0,5.9825534698131e-273,0.09400149249849657,0.0,0.11,0.1219927729961997,0.05448032751191377,0.08140679632518884,0.23076923076923078,0.12680194364468972,0.1400259868124684
