,Unnamed: 0,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,1167,0,0,0,0,1.0,0.1885363734670633,0.2,0.1813058864510102,0.201679435365604,0.1775899759261356,0.1598523339018872,0.1956521739130435,0.1908099457937035,0.1936270841657231
1,5476,0,0,0,1,1.0,0.6875840727391015,1.0,0.71,0.7886245248973669,0.5712708201793477,0.3563966488551162,0.4519230769230769,0.4484460885443747,0.3662113811845751
2,3135,0,3,3,1,1.0,0.962812737672572,1.0,0.96,0.9656237605258786,0.9922360207239236,0.4337479159239424,1.0,0.829896093285799,0.5854136731516774
3,5229,0,3,3,1,1.0,0.7041692011675806,1.0,0.9268333333333332,0.8386974192392607,0.936595286797762,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809931
4,5000,0,5,4,0,1.0,0.5352502555011611,0.25,0.2277857142857142,0.5038680907943902,0.2472878319606684,0.3045558022659177,0.0,0.1409509559173059,0.3550400190861251
5,1247,1,3,8,0,1.0,0.4667222366111992,0.0,0.0463888888888888,0.4471573605732021,0.548102427402472,0.3708189030035806,0.0,0.4771878659077556,0.4238700119606376
6,2082,1,4,9,0,1.0,0.2658080174963876,0.0,0.16,0.2074415292671339,0.4435849652607053,0.2038608929825668,0.3140495867768595,0.3115481480063519,0.2429523309950117
7,1802,0,3,3,1,1.0,0.8654338857477986,1.0,0.72,0.9367910901543316,0.9365952885423066,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809982
8,5098,0,5,4,1,1.0,0.3103145832219143,0.0,0.3,0.971609117015252,0.4435849652607053,0.2038608929825668,0.3140495867768595,0.3115481480063519,0.2429523309950117
9,4965,0,3,3,1,1.0,0.2772279489960809,0.0,0.18,0.2374657630544526,0.4435849652607053,0.2038608929825668,0.3140495867768595,0.3115481480063519,0.2429523309950117
10,4267,0,0,0,0,5.9825534698130995e-273,0.0940014924984965,0.0,0.11,0.1219927729961997,0.0544803275119137,0.0814067963251888,0.2307692307692307,0.1268019436446897,0.1400259868124684
11,475,0,3,3,1,1.0,0.978474837268372,1.0,0.84,0.999002732801399,0.9365952885423066,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809982
12,3105,0,3,3,1,1.0,0.2239335755035038,0.0,0.0975,0.2006446473709159,0.1642701616333661,0.168402138937958,0.1956521739130435,0.1368312753450406,0.2341518735312995
13,4056,1,3,8,1,3.2620206650601807e-124,0.529436976654715,1.0,0.475,0.5026552308878027,0.548102427402472,0.3708189030035806,0.0,0.4771878659077556,0.423870011960643
14,4916,0,0,0,1,1.0,0.7169013256985661,0.0,0.33,0.7021847489837799,0.6854391334716347,0.3695282311635049,0.5,0.4489262942939412,0.4709308146592649
15,2673,0,0,0,0,1.0,0.6897316226350803,1.0,0.5925,0.7030338824150671,0.9365952885423066,0.6157895021692784,0.8412698412698413,0.8394419227424451,0.6271714182809982
16,6145,0,3,3,1,1.0,0.3812696326263439,1.0,0.8566666666666666,0.2748420985468344,0.2472878319606684,0.3045558022659177,0.0,0.1409509559173059,0.3550400190861201
17,246,0,0,0,1,1.0,0.5276994948510231,1.0,0.79,0.490509792167732,0.548102427402472,0.3708189030035806,0.0,0.4771878659077556,0.423870011960643
18,4933,1,4,9,0,0.0,0.2539896480466331,0.0,0.2008451656524678,0.1219927729961997,0.2652030158925389,0.2915166453414172,0.3411371237458194,0.3386901728712895,0.3018389816329844
19,2720,0,3,3,1,1.0,0.4679974965050618,0.5714285714285714,0.5629924242424241,0.4306957036368166,0.2472878319606684,0.3045558022659177,0.0,0.1409509559173059,0.3550400190861258
20,801,0,3,3,0,1.0,0.6405606874573969,0.0,0.8306428571428571,0.5987106708103193,0.548102427402472,0.3708189030035806,0.0,0.4771878659077556,0.423870011960643
21,2298,0,0,0,1,1.0,0.3742117722913404,0.0,0.0766666666666666,0.3784873984342699,0.4435849636082226,0.2038608929825668,0.3140495867768595,0.3115481480063519,0.2429523309950078
22,640,1,3,8,1,1.0,0.9229869058814164,1.0,0.7493333333333332,0.927636346083174,0.8894385254446611,0.4409641292430096,0.75,0.7938363115642528,0.5433020672966429
23,1739,0,3,3,0,1.0,0.617906751905433,0.0,0.705,0.7147764165241016,0.2652030158925389,0.2915166453414172,0.3411371237458194,0.3386901728712895,0.3018389816329844
24,1469,0,0,0,1,1.0,0.3601736236875699,1.0,0.69,0.3374363098014445,0.5712708201793477,0.3563966488551162,0.4519230769230769,0.4484460885443747,0.3662113811845751
25,5563,0,0,0,1,0.9999999999984084,0.2631721626471439,0.0,0.18375,0.2917530905993717,0.5712708201793477,0.3563966488551162,0.4519230769230769,0.4484460885443747,0.3662113811845751
