,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
1167,Male,Caucasian,Male-Caucasian,0,1.0,0.18853637346706334,0.2,0.19307896575202066,0.07992588807461602,0.999999999996362,0.17235208367857255,0.2,0.2181998556998556,0.14529251579791314
5476,Male,Caucasian,Male-Caucasian,1,1.0,0.6875840727391015,1.0,0.75,0.6879407744272614,1.0,0.6412435560001298,0.0,0.67,0.707222655025628
3135,Male,African-American,Male-African-American,1,1.0,0.9628127376725719,1.0,0.93,0.7965351724232586,1.0,0.906290641226394,1.0,0.86,0.8500403982106433
5229,Male,African-American,Male-African-American,1,1.0,0.7041692011675806,1.0,0.9390000000000001,0.643006972537796,1.0,0.6388354478861472,0.0,0.1775,0.6437059329110478
5000,Male,Other,Male-Other,0,1.0,0.5352502555011611,0.25,0.27295526695526695,0.4959675596592514,1.0,0.6059840347170427,0.5,0.4996666666666667,0.5603794621603855
1247,Female,African-American,Female-African-American,0,1.0,0.46672223661119927,0.0,0.045714285714285714,0.39031762486817595,1.0,0.5013944511017545,0.42857142857142855,0.4383123118711355,0.539149887127347
2082,Female,Hispanic,Female-Hispanic,0,1.0,0.26580801749638766,0.0,0.10333333333333333,0.10674105874463197,1.0,0.20090948806243786,0.5,0.22866666666666668,0.14858355458902262
1802,Male,African-American,Male-African-American,1,1.0,0.8654338857477986,1.0,0.73,0.7795849729809952,1.0,0.808260530575129,1.0,0.99,0.8167293712949161
5098,Male,Other,Male-Other,1,1.0,0.31031458322191435,0.0,0.25,0.5923542803526659,0.9999999999995453,0.28088927442535566,0.0,0.02571428571428571,0.2031516491090928
4965,Male,African-American,Male-African-American,1,1.0,0.27722794899608094,0.0,0.12,0.14766121216217046,0.9999999999995453,0.28088927442535566,0.0,0.02571428571428571,0.2031516491090928
4267,Male,Caucasian,Male-Caucasian,0,5.9825534698131e-273,0.09400149249849657,0.0,0.12,0.020875297664658066,2.2588930477043948e-297,0.10941498305613849,0.0,0.05,0.07569358304386761
475,Male,African-American,Male-African-American,1,1.0,0.978474837268372,1.0,0.88,0.9085851225871197,1.0,0.9258167075333029,0.0,0.78,0.8934048199612586
3105,Male,African-American,Male-African-American,1,1.0,0.22393357550350385,0.0,0.06833333333333334,0.11567264801127557,0.9999764464168889,0.2324895555823366,0.0,0.10828571428571429,0.15433877063251702
4056,Female,African-American,Female-African-American,1,3.262020665060181e-124,0.529436976654715,1.0,0.58,0.4512450898203497,1.0,0.584128827370507,0.6666666666666666,0.6949642857142854,0.7066370944425032
4916,Male,Caucasian,Male-Caucasian,1,1.0,0.7169013256985661,0.0,0.25,0.6160857138395518,0.9999999999977263,0.6229964244517,0.0,0.12083333333333336,0.5808387974706962
2673,Male,Caucasian,Male-Caucasian,0,1.0,0.6897316226350803,0.0,0.655,0.6677655364490205,1.0,0.6261109898226664,1.0,0.6548333333333334,0.6729949846470749
6145,Male,African-American,Male-African-American,1,1.0,0.38126963262634395,1.0,0.882,0.4111309524699159,0.9999999999995453,0.41653274832026477,1.0,0.94,0.4554695781075864
246,Male,Caucasian,Male-Caucasian,1,1.0,0.5276994948510231,1.0,0.75,0.41625074264960565,0.9999999999772626,0.5440728395394059,0.45454545454545453,0.6120043412469883,0.47547563003885324
4933,Female,Hispanic,Female-Hispanic,0,0.0,0.25398964804663315,0.0,0.2668224177256435,0.012612057090886525,1.0,0.34734381496083166,0.0,0.5030745982603568,0.22924835711189614
2720,Male,African-American,Male-African-American,1,1.0,0.4679974965050618,0.5714285714285714,0.5918901237651236,0.41335413373359653,0.9999999999990905,0.43728883013692643,0.2777777777777778,0.2567484560926477,0.39540266076685765
801,Male,African-American,Male-African-American,0,1.0,0.6405606874573969,0.0,0.7771190476190477,0.6092013875697577,1.0,0.5888452394826351,0.6,0.5759895382395382,0.5509288026705511
2298,Male,Caucasian,Male-Caucasian,1,1.0,0.37421177229134045,0.0,0.11599999999999999,0.3447863091967769,1.0,0.29745786513729433,0.0,0.035595238095238096,0.48047311400395715
640,Female,African-American,Female-African-American,1,1.0,0.9229869058814163,1.0,0.68,0.7287208921362305,1.0,0.9656401901701508,1.0,0.86,0.8977068728188671
1739,Male,African-American,Male-African-American,0,1.0,0.617906751905433,0.0,0.715,0.6665769018725667,1.0,0.5886044623073119,0.3333333333333333,0.6178333333333333,0.7058936535005408
1469,Male,Caucasian,Male-Caucasian,1,1.0,0.3601736236875699,1.0,0.6966666666666668,0.28899234208348035,1.0,0.3703531097738601,0.4,0.3712796370296369,0.26017169415545094
5563,Male,Caucasian,Male-Caucasian,1,0.9999999999984084,0.26317216264714394,0.0,0.12970238095238096,0.15769316241916229,2.1974586553802515e-13,0.31627690991685187,0.3333333333333333,0.271333694083694,0.1946981178173516
2557,Male,African-American,Male-African-American,1,1.0,0.6347570975879514,1.0,0.7,0.7417913819890188,1.0,0.6114513541371879,1.0,0.8997191697191697,0.6584109663907526
4942,Male,Hispanic,Male-Hispanic,0,1.0,0.3116889422097163,0.0,0.22333333333333333,0.3239220906105736,0.9999999999995453,0.28088927442535566,0.0,0.02571428571428571,0.2031516491090928
977,Male,Caucasian,Male-Caucasian,0,1.0,0.49268733806586046,0.0,0.07419191919191918,0.4865713998441313,0.9999999999990905,0.45743266594255405,0.4666666666666667,0.45275626117275736,0.4101247573753003
4218,Male,African-American,Male-African-American,1,1.0,0.5461819567833005,1.0,0.6975,0.6035795690371007,1.0,0.5297769271030829,1.0,0.8385773809523811,0.4353408165200435
6146,Male,Caucasian,Male-Caucasian,0,1.0,0.3134525357382654,0.0,0.57,0.21111513066972254,1.0,0.36990963755480066,0.0,0.01,0.257181486021588
2656,Male,Caucasian,Male-Caucasian,0,1.0,0.46235539494387645,0.5,0.5277142857142857,0.48775201742357926,1.0,0.3615208222161574,1.0,0.99,0.4278596768727715
863,Male,Hispanic,Male-Hispanic,1,1.0,0.19727737417067998,0.0,0.1425,0.035742157300513236,0.9999999999972715,0.23439488575124168,0.0,0.01,0.17430443318828123
87,Female,Caucasian,Female-Caucasian,1,1.0,0.2995158323489152,0.0,0.02,0.16674823092316718,0.9999999999040483,0.24229726015687159,0.0,0.05833333333333333,0.19069069676013478
1756,Male,Caucasian,Male-Caucasian,0,9.373799316302362e-51,0.2385899045226206,0.0,0.27166666666666667,0.12109189310517217,1.0,0.3615105626622998,0.0,0.4,0.41822494714807273
5130,Male,Caucasian,Male-Caucasian,1,1.0,0.24676578105193922,1.0,0.44,0.21890660417722085,0.9999999999977263,0.2561717205384148,0.0,0.13016883116883116,0.266609696621103
1598,Male,Caucasian,Male-Caucasian,1,1.0,0.6894935365605007,0.0,0.2753333333333333,0.5706887824206569,1.0,0.4791968256736641,0.0,0.12,0.5958501169235059
3456,Male,African-American,Male-African-American,0,1.0,0.36776089688462493,0.09090909090909091,0.07490060593001767,0.21668925084525534,0.999999999998181,0.414183487261734,0.4,0.40355122736740384,0.2986186242442646
1406,Male,African-American,Male-African-American,0,1.0,0.8639083062740263,1.0,0.79,0.6398996543096749,1.0,0.7270153303677915,1.0,0.87,0.6624357970862078
3950,Male,African-American,Male-African-American,1,1.0,0.3654370320814255,0.0,0.5425898268398268,0.47851072969512976,0.9999999999990905,0.34734381496083166,0.0,0.5030745982603568,0.22924835711189614
2716,Female,African-American,Female-African-American,0,1.0,0.4005645019275848,0.0,0.2885238095238095,0.3997577261317873,1.0,0.44830728784291946,0.0,0.0575,0.5496206216452774
2225,Male,African-American,Male-African-American,1,1.0,0.3184552554768068,0.0,0.61,0.4740435654869172,0.9999999999986358,0.22474233554832015,1.0,0.26999999999999996,0.3662299864011574
4299,Male,African-American,Male-African-American,0,1.0,0.45648085748305783,1.0,0.7331666666666666,0.32898342243373113,1.0,0.49938014638344025,0.3333333333333333,0.3750833333333333,0.4257229414189792
2917,Male,African-American,Male-African-American,1,1.0,0.2954281851099221,0.0,0.005,0.20924137060569664,0.9999999978699634,0.30451004181856733,0.0,0.09678507603507605,0.28421307744706803
5223,Male,Other,Male-Other,1,1.0,0.3261255031051994,0.0,0.53,0.2503268895094745,1.0,0.29034583221505433,0.0,0.16,0.25049095716705705
5090,Male,Caucasian,Male-Caucasian,0,1.0,0.8438890445752586,0.0,0.81,0.8705323962828398,1.0,0.7771114726659291,1.0,0.91,0.7774549034649362
1453,Female,Hispanic,Female-Hispanic,0,1.0,0.22431432002043275,0.2857142857142857,0.2842864357864357,0.1705694608360415,0.9999999999708962,0.19699182886969277,0.2727272727272727,0.26696404983904964,0.1604775127422964
1209,Male,African-American,Male-African-American,0,1.0,0.17945624774867847,0.0,0.09047619047619047,0.06333669806998818,0.9998892683173214,0.18360090411551985,0.0,0.007857142857142858,0.11752029517957752
5865,Male,Caucasian,Male-Caucasian,0,1.654959496023981e-34,0.10224887667876806,0.0,0.01,0.0779554114434418,5.959989017723708e-59,0.16294341852579136,0.0,0.02,0.16519946023112286
2112,Female,Caucasian,Female-Caucasian,0,1.0,0.1736601165842247,0.0,0.003333333333333333,0.07512168805971627,0.9609474945330634,0.12733269967238287,0.0,0.035,0.11266170312513524
5776,Male,Other,Male-Other,0,1.0,0.17557733290455932,0.2,0.19841362816749808,0.12263687895820159,0.9999999999681677,0.1844186539357683,0.2,0.21577721474431993,0.15240159736838396
3548,Male,African-American,Male-African-American,0,1.0,0.1479790774156004,0.0,0.017888888888888888,0.09751984742663657,0.999999999953161,0.14031779881899042,0.0,0.0,0.12338900363279254
573,Female,Caucasian,Female-Caucasian,0,1.5128597533071198e-33,0.11801358778894909,0.0,0.36615476190476187,0.11171309487537986,5.371924926520908e-58,0.17692422287092036,0.5,0.42751190476190465,0.11418448824965086
4542,Male,African-American,Male-African-American,1,1.0,0.20682480634177589,0.0,0.0475,0.059698615140831524,1.0,0.12699462054738533,0.0,0.042,0.10014548132508863
3835,Male,African-American,Male-African-American,1,1.0,0.4518675275105956,0.46153846153846156,0.4619031188539703,0.31290112631275957,0.9999999999990905,0.45743266594255405,0.4666666666666667,0.45275626117275736,0.4101247573753003
4970,Male,Other,Male-Other,1,1.0,0.14974765480972332,0.0,0.0,0.13552504484739758,0.9999999999427018,0.12178512568058981,0.0,0.0,0.11074654383802443
3107,Male,Hispanic,Male-Hispanic,0,1.0,0.21160125102133895,0.0,0.056666666666666664,0.14425292546248375,1.0,0.13640903768001794,0.0,0.03,0.10531774084877928
1833,Female,Caucasian,Female-Caucasian,0,1.0,0.2297938797496205,0.0,0.13988095238095238,0.10479869115178518,0.9992247145467092,0.2598146487217876,0.5,0.31416666666666665,0.16249194018586294
5928,Male,Caucasian,Male-Caucasian,1,1.0,0.7299599015031484,1.0,0.83,0.878240039852018,1.0,0.6598617301077236,1.0,0.8391346153846154,0.7234404758624554
480,Male,Hispanic,Male-Hispanic,0,1.0,0.6043287003794675,1.0,0.38,0.7041473908475543,0.9998394611663731,0.5285448110024195,1.0,0.48,0.6340683726764522
4662,Male,African-American,Male-African-American,0,1.0,0.5440158740187979,0.0,0.26233333333333336,0.4933007410316961,1.0,0.4639228595532577,0.5,0.3428333333333334,0.5638173176536647
5645,Female,Caucasian,Female-Caucasian,1,1.0,0.8095947087125798,1.0,0.9,0.9565610697431599,1.0,0.6163801075080608,1.0,0.9,0.9418402345979178
4529,Male,Caucasian,Male-Caucasian,0,1.0,0.06772847582192552,0.0,0.03,0.010197770700461125,0.9731495094531675,0.06441245725810027,0.0,0.01,0.053704603628445674
2700,Female,Caucasian,Female-Caucasian,1,3.4611376104266544e-208,0.10343092956146847,0.0,0.16,0.06009668914688487,5.372035729960054e-233,0.06194708776904579,1.0,0.28,0.14923910115258676
3104,Male,African-American,Male-African-American,1,1.0,0.9427947837976222,1.0,0.85,0.8329490601701239,1.0,0.8683655230376813,1.0,0.60125,0.7900356674019725
5415,Male,Caucasian,Male-Caucasian,1,1.0,0.3664943175361677,0.0,0.52,0.2987149870122584,0.9999999999990905,0.38514768526771864,0.0,0.065,0.25159125849984965
5222,Male,Hispanic,Male-Hispanic,0,1.0,0.30911652504361753,0.0,0.04,0.3347132266258118,0.974763462927624,0.259821232553269,0.0,0.01,0.3006409810083947
994,Male,African-American,Male-African-American,1,1.0,0.6685810862407902,1.0,0.585,0.8066375849004588,1.0,0.6584767363117912,1.0,0.6559999999999999,0.7262067501612549
5259,Male,African-American,Male-African-American,1,1.0,0.5942771265303655,0.0,0.3,0.5638068991959576,0.9999999999990905,0.507348524694059,1.0,0.4805,0.5394879206833443
5243,Male,Caucasian,Male-Caucasian,1,1.0,0.3839910062947108,1.0,0.6089285714285714,0.3161365101751921,1.0,0.38954808696800747,0.0,0.03571428571428571,0.2721249654245616
4003,Male,Hispanic,Male-Hispanic,0,1.0,0.39510391888051966,0.3333333333333333,0.29247619047619045,0.3134064706144071,0.999999999998181,0.39455919841543863,0.12,0.11924677977309506,0.28595880206757535
1770,Male,Other,Male-Other,1,1.0,0.5370460396610374,0.0,0.2915,0.3551663841609521,1.0,0.5450590133605611,0.5,0.4463765885609594,0.44651131003647304
1788,Female,African-American,Female-African-American,0,1.0,0.3217434556594473,0.15384615384615385,0.14096512122208707,0.17617754258555865,0.9999999999977263,0.31991817823263813,0.07142857142857142,0.07220778805219845,0.23868065378560158
5517,Female,Caucasian,Female-Caucasian,0,1.0,0.15951054805492965,0.0,0.11316666666666667,0.06665457528606504,0.9551431904998563,0.11029501863614662,0.0,0.07,0.10099173802421227
2691,Male,African-American,Male-African-American,0,1.0,0.6221331204630111,1.0,0.54,0.5366731653110439,1.0,0.5364533402609661,0.0,0.3975,0.5392672049085867
175,Female,African-American,Female-African-American,0,1.0,0.24376212503915068,0.0,0.03,0.17038837840290508,4.806317270940019e-08,0.26777461249691514,0.0,0.017777777777777778,0.1900086155205052
536,Male,African-American,Male-African-American,0,1.0,0.277049202005674,0.0,0.038809523809523815,0.19045772755973048,0.9999999999995453,0.28088927442535566,0.0,0.02571428571428571,0.2031516491090928
5810,Female,Other,Female-Other,0,1.0,0.23982412811990814,0.0,0.0014285714285714286,0.11332105198614695,0.9999999999968168,0.19685492354868114,0.2,0.21173376623376616,0.16116390131417377
2962,Male,Caucasian,Male-Caucasian,1,1.0,0.21762005607643514,0.0,0.55,0.14756924237318417,0.9999999984838723,0.17556189166449382,0.0,0.12,0.14720960750612877
5560,Male,African-American,Male-African-American,0,1.0,0.1797943009802297,0.0,0.3361666666666666,0.2170016770193722,0.9999999798910724,0.19371977975055915,0.5,0.4296376811594203,0.14465397137940658
4897,Female,Caucasian,Female-Caucasian,0,1.0,0.42675670383361525,0.11764705882352941,0.12016152780230041,0.28591861026449866,0.9999999999990905,0.4173497184251064,0.11764705882352941,0.10969573947275854,0.3808678154794755
1631,Male,Caucasian,Male-Caucasian,0,1.0,0.6494343046354265,0.0,0.54,0.8098583791191617,1.0,0.5873836838829276,1.0,0.4621810542398778,0.7044960561039645
2866,Female,Caucasian,Female-Caucasian,0,1.0,0.21083941889414443,1.0,0.73,0.18573110674373614,0.9999999999959073,0.1836292167584022,0.0,0.01,0.2939515065450388
5665,Male,African-American,Male-African-American,1,1.0,0.600468094914122,1.0,0.66,0.562322486341665,1.0,0.6534261989133678,0.5,0.5152142857142854,0.6705518391113555
1715,Male,African-American,Male-African-American,1,1.0,0.8416430402657508,1.0,0.79,0.6362506455152777,1.0,0.7528318945069167,1.0,0.91,0.705551724030128
1617,Male,Hispanic,Male-Hispanic,1,1.0,0.6011153222050274,0.0,0.6185833333333334,0.6632345038044364,1.0,0.625264020996453,0.5,0.5408333333333334,0.5753982170788837
2107,Male,Caucasian,Male-Caucasian,0,0.0,0.11083747859652536,0.0,0.05250000000000001,0.0032891804452906273,1.0,0.15587575277138005,0.0,0.0225,0.11780783133757468
3579,Male,Caucasian,Male-Caucasian,0,1.0,0.5073127444480837,1.0,0.5098333333333334,0.5213479275371504,1.0,0.47520117882756935,1.0,0.8733333333333333,0.5983839519781811
428,Male,Other,Male-Other,0,3.0468905994058e-49,0.5562225947922633,0.0,0.47,0.5127098032474503,1.0,0.6552820946996342,1.0,0.38,0.5839132523046185
1262,Male,Hispanic,Male-Hispanic,1,1.0,0.36776089688462493,0.09090909090909091,0.07490060593001767,0.21668925084525534,0.999999999998181,0.414183487261734,0.4,0.40355122736740384,0.2986186242442646
1729,Male,African-American,Male-African-American,0,1.0,0.13607745536676594,0.0,0.0,0.048697886965273045,0.9999999999940883,0.13780075467926342,0.0,0.0,0.11614060634028307
3596,Male,Hispanic,Male-Hispanic,0,1.0,0.2669417464068047,0.0,0.16166666666666668,0.11401550996145528,0.9999240159442871,0.3189224145480498,0.0,0.10152380952380952,0.18766576660359058
6036,Male,Caucasian,Male-Caucasian,1,0.00033184073025139236,0.2367595307482277,0.0,0.21,0.10371355692034043,0.9999999999990905,0.21709847762161852,0.0,0.045,0.1541745918006505
3355,Female,African-American,Female-African-American,1,1.0,0.5999478537143698,1.0,0.6611701680672268,0.5433898800093697,1.0,0.5888575927854988,1.0,0.9596085613732671,0.5245768958484955
5032,Male,Hispanic,Male-Hispanic,0,1.2956101624046769e-98,0.07595519097585145,0.0,0.125,0.022111666415825692,4.699439336849318e-123,0.06960628075850216,0.0,0.09916666666666667,0.057267244150528904
874,Male,African-American,Male-African-American,1,1.0,0.47923100586360745,1.0,0.7166666666666666,0.62594985684207,1.0,0.45280204814357533,0.3333333333333333,0.5339761904761907,0.5181491863598826
