algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy
GaussianNB,,0,0.5249909101927039,1.0341924398625428,1.0278973543393477,1.038746105919003,0.06321321153847773,0.10403587443946188,0.9459459459459459,0.243829468960359
LR,,0,0.54734779622672,1.0307390736169595,1.4633164045434688,2.656494522691706,0.18396623236815532,0.9775784753363229,0.11711711711711711,0.8347045624532535
DecisionTree,,0,0.5839938593301822,1.031598180146169,0.7955252762668275,1.3127574973651432,0.19156449213897858,0.9067264573991032,0.26126126126126126,0.7995512341062079
RandomForest,,0,0.5438108512099543,1.0009220270074053,0.6259894972310754,1.0139744718309858,0.13080468878107657,0.9479820627802691,0.13963963963963963,0.8137621540762902
MultiLayerPerceptron,,0,0.5595362178321819,1.0392091379894488,1.3159055714654502,2.3583165660630447,0.19629699319794383,0.9659192825112107,0.15315315315315314,0.8309648466716529
Feldman-GaussianNB,lambda=1.0,0,0.5058295964125561,1.0073907361695948,0.9778601020389963,1.0074989687076432,0.04421470554790546,0.011659192825112108,1.0,0.17576664173522813
Feldman-LR,lambda=1.0,0,0.5613198400193916,1.0080586612458255,1.5312252811536067,1.1954225352112675,0.217017118424508,0.9739910313901345,0.14864864864864866,0.8369483919222139
Feldman-DecisionTree,lambda=1.0,0,0.5554599442491819,1.0021901166448866,1.4154120042164766,1.0531103286384977,0.20430591134031048,0.9757847533632287,0.13513513513513514,0.8362004487658938
Feldman-RandomForest,lambda=1.0,0,0.5284228174362704,1.0037123082135424,1.744623082065743,1.1384976525821597,0.1257017698174376,0.9802690582959641,0.07657657657657657,0.8302169035153328
Feldman-MultiLayerPerceptron,lambda=1.0,0,0.5613198400193916,1.0080586612458255,1.5312252811536067,1.1954225352112675,0.217017118424508,0.9739910313901345,0.14864864864864866,0.8369483919222139
