,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
554,Male,African-American,Male-African-American,1,1.0,0.23791053638634593,0.0,0.3011666666666667,0.24879184879140562,1.0,0.275778310427422,0.5,0.4008475980190685,0.2586488971363036
2264,Female,African-American,Female-African-American,0,1.0,0.13811415977657784,0.16666666666666666,0.19411796536796533,0.147165045736454,1.0,0.256769292407525,0.15916955017301038,0.3365889552676238,0.23716989315206052
1394,Female,African-American,Female-African-American,0,1.0,0.06697538142465122,0.0,0.0,0.0752688859643211,1.0,0.15796966470488977,0.11224489795918367,0.19429194852096532,0.14484622472362382
2187,Female,Caucasian,Female-Caucasian,0,1.0,0.19247272648829825,0.05,0.04687688133721859,0.20819207010456767,1.0,0.275778310427422,0.5,0.4008475980190685,0.2586488971363036
2038,Male,Other,Male-Other,0,1.0,0.057479176557868966,0.0,0.0,0.07260657080670509,1.0,0.022733893203980577,0.043478260869565216,0.08831644718877203,0.018784152278315903
506,Male,African-American,Male-African-American,0,1.0,0.1452202672402128,1.0,0.6733333333333335,0.1740274796766257,1.0,0.19749225599213732,0.11224489795918367,0.19429194852096532,0.1815805985983457
2118,Male,African-American,Male-African-American,0,1.0,0.1059418324018111,0.0,0.07,0.08100105848039774,1.0,0.19749225599213732,0.11224489795918367,0.19429194852096532,0.1815805985983457
1276,Male,African-American,Male-African-American,0,1.0,0.621498450128135,1.0,0.46,0.6026145085023246,1.0,0.46463507177469426,0.3333333333333333,0.33742436974789913,0.4401253751481088
1897,Male,African-American,Male-African-American,0,1.0,0.42425055174490534,1.0,0.5,0.6457378619222552,1.0,0.256769292407525,0.15916955017301038,0.3365889552676238,0.23716989315206052
2866,Female,Caucasian,Female-Caucasian,0,1.0,0.13219512047808452,0.3333333333333333,0.34097290209790204,0.14199904676138017,1.0,0.27551027452910076,0.3333333333333333,0.3379243065270052,0.2559094437454832
999,Male,Caucasian,Male-Caucasian,1,1.0,0.3610545329562177,1.0,0.335,0.3441043057612055,1.0,0.46463507177469426,0.3333333333333333,0.33742436974789913,0.4401253751481088
1505,Male,African-American,Male-African-American,0,1.0,0.0659059438524176,0.14285714285714285,0.14675364912864908,0.08090537465997218,1.0,0.06443952992181337,0.046511627906976744,0.08753623409554727,0.05335050231103324
2249,Male,African-American,Male-African-American,0,1.0,0.09188019141327883,0.0,0.042206349206349206,0.0855080817689047,1.0,0.2570255640733101,0.0,0.032960161434136014,0.23975371202510087
2857,Male,African-American,Male-African-American,1,1.0,0.2729848680792135,0.0,0.1,0.28134925726124244,1.0,0.1977051030921176,0.1337579617834395,0.057458763651883696,0.18372059215450856
2948,Male,Caucasian,Male-Caucasian,0,1.0,0.08095042695897085,1.0,0.552,0.09636005977504003,1.0,0.46463507177469426,0.3333333333333333,0.33742436974789913,0.4401253751481088
867,Male,Caucasian,Male-Caucasian,0,1.0,0.11346792826028307,0.0,0.07,0.08095345361044257,1.0,0.5864748458379753,0.5,0.375435064935065,0.5398903173894685
1500,Male,African-American,Male-African-American,0,1.0,0.14015656386710595,0.0,0.02,0.14353356949733642,1.0,0.27551027452910076,0.3333333333333333,0.3379243065270052,0.2559097525557841
3426,Male,Caucasian,Male-Caucasian,0,1.0,0.10769002538271664,0.3333333333333333,0.3270595238095238,0.1265338098358236,1.0,0.256769292407525,0.15916955017301038,0.3365889552676238,0.23716989315206052
3280,Male,Hispanic,Male-Hispanic,0,0.0,0.05209584388936359,0.0,0.0009090909090909091,0.005353623784145048,1.0,0.15814831055032885,0.1337579617834395,0.057458763651883696,0.14661755312354569
178,Male,African-American,Male-African-American,1,1.0,0.36766086993065933,1.0,0.13,0.45105298042721115,1.0,0.46463507177469426,0.3333333333333333,0.33742436974789913,0.4401253751481088
1755,Female,Other,Female-Other,0,1.0,0.040159664611886976,0.0,0.05,0.06263152114627889,1.0,0.03600787520100657,0.0,0.12583333333333335,0.029376881853784266
3684,Female,Hispanic,Female-Hispanic,0,1.0,0.0854365140327165,0.1111111111111111,0.1070839011779414,0.09539680825218366,1.0,0.09256968230824822,0.0,0.02291022721484424,0.08559677649950177
3201,Male,African-American,Male-African-American,0,1.0,0.14901372503884952,0.0,0.04555555555555555,0.17819532472787464,1.0,0.15796966470488977,0.11224489795918367,0.19429194852096532,0.14484622472362382
1426,Male,African-American,Male-African-American,0,1.0,0.21547267557068187,0.0,0.34,0.26390959691961563,1.0,0.1251232341015605,0.046511627906976744,0.14596027422232508,0.11450361335836834
1713,Female,African-American,Female-African-American,0,0.0,0.12275646922361241,0.0,0.12875,0.020366713042128608,1.0,0.275778310427422,0.5,0.4008475980190685,0.2586285128331975
3643,Male,African-American,Male-African-American,1,1.0,0.3128107270836552,0.0,0.37,0.3841868388195333,1.0,0.5492194111787861,1.0,0.6218241975813966,0.5241720031415708
2674,Female,African-American,Female-African-American,0,0.0,0.06828503668465734,0.0,0.03,0.005544791355921072,1.0,0.1251232341015605,0.046511627906976744,0.14596027422232508,0.11450361335836834
