algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy
GaussianNB,,0,0.5249909101927039,0.9878927356413848,0.9866490124682776,0.9866490124682776,0.06321321153847773,0.10403587443946188,0.9459459459459459,0.243829468960359
LR,,0,0.54734779622672,0.9827363084517378,0.5872408293460926,0.5872408293460926,0.18396623236815532,0.9775784753363229,0.11711711711711711,0.8347045624532535
DecisionTree,,0,0.5704702460307842,0.9376826095657395,0.5033492822966508,0.5033492822966508,0.16617998495576575,0.9112107623318386,0.22972972972972974,0.7980553477935677
RandomForest,,0,0.5528400597907325,0.9759989326929491,0.7130781499202552,0.7130781499202552,0.14618648154005684,0.9390134529147982,0.16666666666666666,0.8107703814510098
MultiLayerPerceptron,,0,0.5563770048074981,0.9719865252484824,0.5005055010407374,0.5005055010407374,0.19231211924570318,0.968609865470852,0.14414414414414414,0.831712789827973
Feldman-GaussianNB,lambda=1.0,0,0.5075021209550358,0.9909545727436462,0.9903294822421909,0.9903294822421909,0.02239884799358746,0.06905829596412556,0.9459459459459459,0.21465968586387435
Feldman-LR,lambda=1.0,0,0.54734779622672,1.005033019811887,1.1357624831309043,1.1357624831309043,0.18396623236815532,0.9775784753363229,0.11711711711711711,0.8347045624532535
Feldman-DecisionTree,lambda=1.0,0,0.56867652405769,0.9561770395570676,0.6480782107941611,0.6480782107941611,0.16010300739487898,0.9076233183856502,0.22972972972972974,0.7950635751682872
Feldman-RandomForest,lambda=1.0,0,0.5559992728154163,0.948949369621773,0.45198711063372715,0.45198711063372715,0.15167279156361796,0.9363228699551569,0.17567567567567569,0.8100224382946896
Feldman-MultiLayerPerceptron,lambda=1.0,0,0.5459924049610149,1.0257220999266226,1.8456140350877193,1.8456140350877193,0.18398522948219317,0.979372197309417,0.11261261261261261,0.8354525056095736
