,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
554,Male,African-American,Male-African-American,1,1.0,0.23791053638634593,0.0,0.2741428571428571,0.21124617501607934,1.0,0.2532673998720959,0.2222222222222222,0.21431845931845928,0.2359233440923347
2264,Female,African-American,Female-African-American,0,1.0,0.13811415977657784,0.16666666666666666,0.13183485958485958,0.13696096089351373,1.0,0.25296024438432085,0.25,0.2878055555555556,0.22637737856964707
1394,Female,African-American,Female-African-American,0,1.0,0.06697538142465122,0.0,0.0,0.06629553041397175,1.0,0.08163090204444369,0.0,0.004,0.06889919575150427
2187,Female,Caucasian,Female-Caucasian,0,1.0,0.19247272648829825,0.05,0.05398140352297874,0.1681069914409609,1.0,0.21541897785440203,0.047619047619047616,0.049259505750158174,0.20061143225542563
2038,Male,Other,Male-Other,0,1.0,0.057479176557868966,0.0,0.0,0.04650560784250526,1.0,0.07134221461679431,0.2,0.15633333333333338,0.07585568373035034
506,Male,African-American,Male-African-American,0,1.0,0.1452202672402128,1.0,0.7825,0.1488403020347683,1.0,0.1884973369107034,0.0,0.2242857142857143,0.2011232658467978
2118,Male,African-American,Male-African-American,0,1.0,0.1059418324018111,0.0,0.05,0.07259935258896802,1.0,0.11899413705906836,0.0,0.03,0.034463543644693014
1276,Male,African-American,Male-African-American,0,1.0,0.621498450128135,1.0,0.59,0.5127115175926393,1.0,0.59785349954361,1.0,0.68,0.5607377215934308
1897,Male,African-American,Male-African-American,0,1.0,0.42425055174490534,0.0,0.58,0.5632203432648677,1.0,0.41649367758909783,0.0,0.31,0.48772072017794277
2866,Female,Caucasian,Female-Caucasian,0,1.0,0.13219512047808452,0.3333333333333333,0.3387150896489131,0.11600830900693355,1.0,0.13870542974995004,0.23076923076923078,0.2369067732662933,0.12222610736667154
999,Male,Caucasian,Male-Caucasian,1,1.0,0.3610545329562177,0.0,0.3158333333333333,0.32389421090640796,1.0,0.3999508894632937,0.0,0.21899999999999997,0.4525018862822454
1505,Male,African-American,Male-African-American,0,1.0,0.0659059438524176,0.14285714285714285,0.12422821622821617,0.05458344697243096,1.0,0.09241366392217906,0.07142857142857142,0.0663223640805583,0.09650753107185966
2249,Male,African-American,Male-African-American,0,1.0,0.09188019141327883,0.0,0.02486111111111111,0.06674874657770011,1.0,0.11268582588220467,0.0,0.0,0.08395045391680236
2857,Male,African-American,Male-African-American,1,1.0,0.2729848680792135,0.0,0.06,0.2585351151948015,1.0,0.3172620749755794,0.0,0.19189285714285714,0.3586412183838778
2948,Male,Caucasian,Male-Caucasian,0,1.0,0.08095042695897085,0.0,0.61,0.08193896419568658,1.0,0.10132226905064746,0.0,0.1065,0.15562984857853734
867,Male,Caucasian,Male-Caucasian,0,1.0,0.11346792826028307,0.0,0.08,0.076310989966701,1.0,0.12668183200526278,0.0,0.03,0.15516470654148065
1500,Male,African-American,Male-African-American,0,1.0,0.14015656386710595,0.0,0.0,0.11968232705755533,1.0,0.16225964550895763,0.3333333333333333,0.23676190476190462,0.13944906391146406
3426,Male,Caucasian,Male-Caucasian,0,1.0,0.10769002538271664,0.3333333333333333,0.3438174603174604,0.1108474372993354,1.0,0.1466670968276743,1.0,0.669611111111111,0.09632568987047635
3280,Male,Hispanic,Male-Hispanic,0,0.0,0.05209584388936359,0.0,0.003125,0.004719380886592454,0.0,0.0628353057360976,0.0,0.0,0.006960623322300037
178,Male,African-American,Male-African-American,1,1.0,0.36766086993065933,1.0,0.14,0.349621012845609,1.0,0.3929723042234054,0.5,0.1595,0.37429951058640476
1755,Female,Other,Female-Other,0,1.0,0.040159664611886976,0.0,0.03,0.03605698267252026,1.0,0.0294619183619747,0.0,0.02,0.03443555537244096
3684,Female,Hispanic,Female-Hispanic,0,1.0,0.0854365140327165,0.1111111111111111,0.11710458822223524,0.07460295430359434,1.0,0.07753967483836431,0.0,0.0,0.05943529010576304
3201,Male,African-American,Male-African-American,0,1.0,0.14901372503884952,0.0,0.06,0.14892065085853207,1.0,0.1914893848039033,0.0,0.13666666666666666,0.25663754627914764
1426,Male,African-American,Male-African-American,0,1.0,0.21547267557068187,0.0,0.36,0.20452754689647312,1.0,0.21027513024679778,1.0,0.22166666666666668,0.3259241706701256
1713,Female,African-American,Female-African-American,0,0.0,0.12275646922361241,0.0,0.115,0.009019066361963816,0.0,0.13991124395618704,0.0,0.16345238095238096,0.051642555944898264
3643,Male,African-American,Male-African-American,1,1.0,0.3128107270836552,0.0,0.45666666666666667,0.3253249237924429,1.0,0.3823055552909498,1.0,0.3916666666666667,0.38364864039311874
2674,Female,African-American,Female-African-American,0,0.0,0.06828503668465734,0.0,0.03,0.003977103866115013,1.0,0.08519778788411883,0.0,0.01,0.08578656505254717
575,Male,African-American,Male-African-American,1,1.0,0.6943927872821156,0.0,0.24583333333333335,0.6532609879432055,1.0,0.7314154531394143,1.0,0.504,0.6527023280291295
3472,Male,African-American,Male-African-American,0,1.0,0.06717782508174845,1.0,0.07,0.03638501724633484,4.533720261460135e-32,0.07309975499102427,0.0,0.018333333333333333,0.047674411438862516
669,Female,African-American,Female-African-American,0,1.0,0.19247272648829825,0.05,0.05398140352297874,0.1681069914409609,1.0,0.21541897785440203,0.047619047619047616,0.049259505750158174,0.20061143225542563
1351,Male,African-American,Male-African-American,0,0.0,0.04186010736013502,0.0,0.0,0.002163592310451703,0.0,0.05265017429649819,0.0,0.008166666666666666,0.004287384147056816
2191,Male,Caucasian,Male-Caucasian,0,1.0,0.14131742115329632,1.0,0.7859523809523811,0.1419003166274624,1.0,0.17425957846336,0.0,0.04,0.23300241853643658
1945,Male,African-American,Male-African-American,0,1.0,0.18430649930732176,0.10526315789473684,0.10965454396631676,0.17349275226739283,1.0,0.24268811139408145,0.16666666666666666,0.16360414063061118,0.18096588821366794
