,Unnamed: 0,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,554,0,3,3,1,1.0,0.2379105363863459,0.0,0.2741428571428571,0.2112461750160793,1.0,0.2532673998720959,0.2222222222222222,0.2143184593184592,0.2359233440923347
1,2264,1,3,8,0,1.0,0.1381141597765778,0.1666666666666666,0.1318348595848595,0.1369609608935137,1.0,0.2529602443843208,0.25,0.2878055555555556,0.226377378569647
2,1394,1,3,8,0,1.0,0.0669753814246512,0.0,0.0,0.0662955304139717,1.0,0.0816309020444436,0.0,0.004,0.0688991957515042
3,2187,1,0,1,0,1.0,0.1924727264882982,0.05,0.0539814035229787,0.1681069914409609,1.0,0.215418977854402,0.0476190476190476,0.0492595057501581,0.2006114322554256
4,2038,0,5,4,0,1.0,0.0574791765578689,0.0,0.0,0.0465056078425052,1.0,0.0713422146167943,0.2,0.1563333333333333,0.0758556837303503
5,506,0,3,3,0,1.0,0.1452202672402128,1.0,0.7825,0.1488403020347683,1.0,0.1884973369107034,0.0,0.2242857142857143,0.2011232658467978
6,2118,0,3,3,0,1.0,0.1059418324018111,0.0,0.05,0.072599352588968,1.0,0.1189941370590683,0.0,0.03,0.034463543644693
7,1276,0,3,3,0,1.0,0.621498450128135,1.0,0.59,0.5127115175926393,1.0,0.59785349954361,1.0,0.68,0.5607377215934308
8,1897,0,3,3,0,1.0,0.4242505517449053,0.0,0.58,0.5632203432648677,1.0,0.4164936775890978,0.0,0.31,0.4877207201779427
9,2866,1,0,1,0,1.0,0.1321951204780845,0.3333333333333333,0.3387150896489131,0.1160083090069335,1.0,0.13870542974995,0.2307692307692307,0.2369067732662933,0.1222261073666715
10,999,0,0,0,1,1.0,0.3610545329562177,0.0,0.3158333333333333,0.3238942109064079,1.0,0.3999508894632937,0.0,0.2189999999999999,0.4525018862822454
11,1505,0,3,3,0,1.0,0.0659059438524176,0.1428571428571428,0.1242282162282161,0.0545834469724309,1.0,0.092413663922179,0.0714285714285714,0.0663223640805583,0.0965075310718596
12,2249,0,3,3,0,1.0,0.0918801914132788,0.0,0.0248611111111111,0.0667487465777001,1.0,0.1126858258822046,0.0,0.0,0.0839504539168023
13,2857,0,3,3,1,1.0,0.2729848680792135,0.0,0.06,0.2585351151948015,1.0,0.3172620749755794,0.0,0.1918928571428571,0.3586412183838778
14,2948,0,0,0,0,1.0,0.0809504269589708,0.0,0.61,0.0819389641956865,1.0,0.1013222690506474,0.0,0.1065,0.1556298485785373
15,867,0,0,0,0,1.0,0.113467928260283,0.0,0.08,0.076310989966701,1.0,0.1266818320052627,0.0,0.03,0.1551647065414806
16,1500,0,3,3,0,1.0,0.1401565638671059,0.0,0.0,0.1196823270575553,1.0,0.1622596455089576,0.3333333333333333,0.2367619047619046,0.139449063911464
17,3426,0,0,0,0,1.0,0.1076900253827166,0.3333333333333333,0.3438174603174604,0.1108474372993354,1.0,0.1466670968276743,1.0,0.669611111111111,0.0963256898704763
18,3280,0,4,7,0,0.0,0.0520958438893635,0.0,0.003125,0.0047193808865924,0.0,0.0628353057360976,0.0,0.0,0.0069606233223
19,178,0,3,3,1,1.0,0.3676608699306593,1.0,0.14,0.349621012845609,1.0,0.3929723042234054,0.5,0.1595,0.3742995105864047
20,1755,1,5,5,0,1.0,0.0401596646118869,0.0,0.03,0.0360569826725202,1.0,0.0294619183619747,0.0,0.02,0.0344355553724409
21,3684,1,4,9,0,1.0,0.0854365140327165,0.1111111111111111,0.1171045882222352,0.0746029543035943,1.0,0.0775396748383643,0.0,0.0,0.059435290105763
22,3201,0,3,3,0,1.0,0.1490137250388495,0.0,0.06,0.148920650858532,1.0,0.1914893848039033,0.0,0.1366666666666666,0.2566375462791476
23,1426,0,3,3,0,1.0,0.2154726755706818,0.0,0.36,0.2045275468964731,1.0,0.2102751302467977,1.0,0.2216666666666666,0.3259241706701256
24,1713,1,3,8,0,0.0,0.1227564692236124,0.0,0.115,0.0090190663619638,0.0,0.139911243956187,0.0,0.1634523809523809,0.0516425559448982
