algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy
GaussianNB,,0,0.9705882352941176,0.5164835164835164,0.3466666666666667,0.3714285714285714,0.949716159867634,0.9411764705882353,1.0,0.975
LR,,0,1.0,0.554945054945055,0.3649122807017544,0.39097744360902253,1.0,1.0,1.0,1.0
DecisionTree,,0,0.9782608695652174,0.5934065934065934,0.3851851851851852,0.4126984126984127,0.9504639091054837,1.0,0.9565217391304348,0.975
RandomForest,,0,0.9782608695652174,0.5934065934065934,0.3851851851851852,0.4126984126984127,0.9504639091054837,1.0,0.9565217391304348,0.975
MultiLayerPerceptron,,0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.425
Feldman-GaussianNB,lambda=1.0,0,0.7237851662404091,1.0824175824175823,1.219753086419753,1.2380952380952381,0.4570187689337444,0.8823529411764706,0.5652173913043478,0.7
Feldman-LR,lambda=1.0,0,0.6956521739130435,0.9835164835164835,0.9148148148148147,0.9285714285714285,0.46323455749702763,1.0,0.391304347826087,0.65
Feldman-DecisionTree,lambda=1.0,0,0.7455242966751918,0.8241758241758241,0.5777777777777777,0.619047619047619,0.4955040834092004,0.8823529411764706,0.6086956521739131,0.725
Feldman-RandomForest,lambda=1.0,0,0.6956521739130435,0.9835164835164835,0.9148148148148147,0.9285714285714285,0.46323455749702763,1.0,0.391304347826087,0.65
Feldman-MultiLayerPerceptron,lambda=1.0,0,0.4936061381074169,0.9725274725274725,1.0048309178743962,0.9689440993788819,-0.019114484997483857,0.11764705882352941,0.8695652173913043,0.55
